Year,Title,Subject,Actor,Actress,Director
1956,Somebody up There Likes Me,Drama,"Newman, Paul",,"Wise, Robert"
1955,Jack Benny Show,Comedy,"Benny, Jack",,
1962,Mutiny on the Bounty,Action,"Brando, Marlon",,
1989,"Death Valley Days, Deadly Decision",Western,"Caan, James",,
1986,Monty Python's Flying Circus,Comedy,"Chapman, Graham",,
1986,"Monty Python's Flying Circus, Vol 1.",Comedy,"Chapman, Graham",,
1986,"Monty Python's Flying Circus, Vol 2.",Comedy,"Chapman, Graham",,
1986,"Monty Python's Flying Circus, Vol 3.",Comedy,"Chapman, Graham",,
1990,Valkenvania,Comedy,"Chase, Chevy",,
1982,"Secret Policeman's Other Ball, The",Comedy,"Cleese, John",,
1981,"Taming of the Shrew, The",Drama,"Cleese, John",,
1964,From Russia with Love,Action,"Connery, Sean",,
1993,"Offence, The",Mystery,"Connery, Sean",,
1992,Hollywood Mavericks,Comedy,"Coppola, Francis Ford",,
1990,Live at Harrah's,Comedy,"Cosby, Bill",,
1992,"Persuaders, The Overture, The",Mystery,"Curtis, Tony",,
1977,Nineteen Hundred,Drama,"De Niro, Robert",,
1989,"Van, The",Comedy,"DeVito, Danny",,
1972,My Country Right or Wrong,War,"Douglas, Michael",,
1991,"Clint Eastwood Collection, The",Westerns,"Eastwood, Clint",,
1991,"Complete Dirty Harry, Magnum Force, The",Action,"Eastwood, Clint",,
1992,"Dead Pool, The",Action,"Eastwood, Clint",,
1992,"Good, the Bad & the Ugly, The",Westerns,"Eastwood, Clint",,
1959,"Rawhide, Premiere Episode",Western,"Eastwood, Clint",,
1992,Tightrope,Mystery,"Eastwood, Clint",,
1987,Hearts of Fire,Drama,"Everett, Rupert",,
1992,How the West Was Won,Western,"Fonda, Henry",,
1992,"Mummy's Hand, The",Mystery,"Foran, Dick",,
1993,Great White Death,Action,"Ford, Glenn",,
1986,"Mosquito Coast, The",Drama,"Ford, Harrison",,
1993,Today We Kill....Tomorrow We Die,Western,"Ford, Montgomery",,
1991,Tormenta Sobre Arizona,Drama,"Ford, Wallace",,
1989,Back to the Future II,Comedy,"Fox, Michael J.",,
1959,"Maverick, Duel at Sundown",Western,"Garner, James",,
1983,Shakespeare Series,Drama,"Gielgud, John",,
1973,Deadly Trackers,Western,"Harris, Richard",,
1992,"American Film Institute, Alfred Hitchcock",Mystery,"Hitchcock, Alfred",,
1990,A Married Man,Drama,"Hopkins, Anthony",,
1982,Othello,Drama,"Hopkins, Anthony",,
1975,"Only Way Home, The",Drama,"Hopkins, Bo",,
1953,Tales of Tomorrow,Horror,"Karloff, Boris",,
1991,Inherit the Wind,Drama,"Kelly, Gene",,
1990,This Is Horror,Horror,"King, Stephen",,
1992,Conversation Piece,Drama,"Lancaster, Burt",,
1992,"Crimson Pirate, The",Action,"Lancaster, Burt",,
1992,"Devil's Disciple, The",Mystery,"Lancaster, Burt",,
1992,"Hallelujah Trail, The",Drama,"Lancaster, Burt",,
1992,"Train, The",Action,"Lancaster, Burt",,
1986,Jay Leno: The American Dream,Comedy,"Leno, Jay",,
1990,Primal Rage,Mystery,"Lowe, Patrick",,
1990,"Industrial Symphony, The Dream of the Broken-Hearted",Music,"Lynch, David",,
1986,Howie Mandel's North American Watusi Tour,Comedy,"Mandel, Howie",,
1989,"Branford Marsalis, Steep",Music,"Marsalis, Branford",,
1991,L. A. Story,Comedy,"Martin, Steve",,
