Year,Title,Subject,Actor,Actress,Director
1989,Pink Cadillac,Comedy,"Eastwood, Clint","Peters, Bernadette","Eastwood, Clint"
1979,"Jerk, The",Comedy,"Martin, Steve","Peters, Bernadette","Reiner, Carl"
1980,Wild Times,,"Elliott, Sam","Peyser, Penny","Compton, Richard"
1986,Sweet Liberty,Comedy,"Alda, Alan","Pfeiffer, Michelle","Alda, Alan"
1982,Grease II,Music,"Caulfield, Maxwell","Pfeiffer, Michelle","Birch, Patricia"
1989,Married to the Mob,Comedy,"Modine, Matthew","Pfeiffer, Michelle","Demme, Jonathan"
1985,Ladyhawke,Adventure,"Broderick, Matthew","Pfeiffer, Michelle","Donner, Richard"
1989,"Fabulous Baker Boys, The",Drama,"Bridges, Jeff","Pfeiffer, Michelle","Kloves, Steve"
1985,Into the Night,Comedy,"Goldblum, Jeff","Pfeiffer, Michelle","Landis, John"
1991,"Russia House, The",Drama,"Connery, Sean","Pfeiffer, Michelle","Schepisi, Fred"
1988,Tequila Sunrise,Mystery,"Gibson, Mel","Pfeiffer, Michelle","Towne, Robert"
1989,B. A. D. Cats,Action,"Morrow, Vic","Pfeiffer, Michelle",
1971,"Last Movie, The",Drama,"Hopper, Dennis","Phillips, Michelle","Hopper, Dennis"
1973,Dillinger,Drama,"Oates, Warren","Phillips, Michelle","Milius, John"
1988,Little Dorrit,Drama,"Jacobi, Derek","Pickering, Sarah","Edzard, Christine"
1927,My Best Girl,Drama,"Rogers, Charles","Pickford, Mary","Taylor, Sam"
1989,Seizure,Horror,"Frid, Jonathan","Pickles, Christina","Stone, Oliver"
1990,A Chorus of Disapproval,Comedy,"Irons, Jeremy","Pigg, Alexandra","Winner, Michael"
1962,Rome Adventure,Drama,"Donahue, Tony","Pleshette, Suzanne","Daves, Delmer"
1992,Drowning by Numbers,Mystery,"Hill, Bernard","Plowright, Joan","Greenaway, Peter"
1991,Born to Ride,Action,"Stamos, John","Polo, Teri","Baker, Graham"
1988,Her Alibi,Comedy,"Selleck, Tom","Porizkova, Paulina","Beresford, Bruce"
1988,Glitz,Mystery,"Smits, Jimmy","Post, Markie",
1990,Dangerous Pursuit,Mystery,"Harrison, Gregory","Powers, Alexandra","Stern, Sandor"
1962,Experiment in Terror,Mystery,"Ford, Glenn","Powers, Stefanie","Edwards, Blake"
1972,"Hideaways, The",Comedy,"Doran, Johnny","Prager, Sally","Cook, Fielder"
1965,What's New Pussycat,Comedy,"O'Toole, Peter","Prentiss, Paula","Donner, Clive"
1965,What's New Pussycat?,Comedy,"Sellers, Peter","Prentiss, Paula","Donner, Clive"
1983,Packin' It In,Comedy,"Benjamin, Richard","Prentiss, Paula","Taylor, Jud"
1988,"Naked Gun: From the Files of Police Squad!, THe",Comedy,"Nielsen, Leslie","Presley, Priscilla","Zucker, David"
1990,In Too Deep,Drama,"Race, Hugo","Press, Santha","Tatoulis, Colin South, John"
1988,Twins,Comedy,"Schwarzenegger, Arnold","Preston, Kelly","Reitman, Ivan"
1988,"Experts, The",Comedy,"Travolta, John","Preston, Kelly","Thomas, Dave"
1989,Naked Lie,Drama,"Lucking, William","Principal, Victoria","Colla, Richard A."
1987,Mistress,Drama,"Rachins, Allan","Principal, Victoria","Tuchner, Michael"
1992,Pleasure Palace,Action,"Sharif, Omar","Principal, Victoria",
1970,Adam at 6 A.M.,Drama,"Douglas, Michael","Purcell, Lee","Scheerer, Robert"
1990,Web of Deceit,Drama,"Read, James","Purl, Linda","Stern, Sandor"
1991,New York Stories,Comedy,"Allen, Woody","Questel, Mae","Coppola, Francis Ford"
1987,"Dreams Lost, Dreams Found",Drama,"Robb, David","Quinlan, Kathleen","Patterson, Willi"
1987,Au Revoir les Enfants,Drama,"Manesse, Gaspard","Racette, Francine","Malle, Louis"
1989,Quo Vadis,Drama,"Brandauer, Klaus Maria","Raines, Cristina","Rossi, Franco"
1949,"Fighting Kentuckian, The",Action,"Wayne, John","Ralston, Vera","Waggner, George"
1974,Zardoz,Science Fiction,"Connery, Sean","Rampling, Charlotte","Boorman, John"
1989,Police Academy 6: City under Siege,Comedy,"Smith, Bubba","Ramsey, Marion","Bonerz, Peter"
1988,Police Academy 5: Assignment Miami Beach,Comedy,"Gaynes, George","Ramsey, Marion","Myerson, Alan"
1986,Police Academy 3: Back in Training,Comedy,"Guttenberg, Steve","Ramsey, Marion","Paris, Jerry"
1991,"America's Music, Blues",Music,"Hopkins, Linda","Redd, Vi","Walton, Kip"
1977,Julia,Drama,"Fonda, Vanessa","Redgrave, Jane","Zinnemann, Fred"
1971,"Devils, The",Drama,"Reed, Oliver","Redgrave, Vanessa","Russell, Ken"
1984,Ransom,Drama,"Ford, Glenn","Reed, Donna","Segal, Alex"
1990,Cadillac Man,Comedy,"Williams, Robin","Reed, Pamela","Donaldson, Roger"
1986,"Best of Times, The",Comedy,"Williams, Robin","Reed, Pamela","Spottiswoode, Roger"
1985,Death of a Salesman,Drama,"Hoffman, Dustin","Reid, Kate","Schlöndorff, Volker"
1993,It Started with a Kiss,Drama,"Ford, Glenn","Reynolds, Debbie",
1989,"Money, The",Drama,"Luckinbill, Laurence","Richards, Elizabeth",
1987,Empire of the Sun,Drama,"Malkovich, John","Richardson, Miranda","Spielberg, Steven"
1991,"Comfort of Strangers, The",Mystery,"Walken, Christopher","Richardson, Natasha","Schrader, Paul"
1969,On Her Majesty's Secret Service,Action,"Lazenby, George","Rigg, Diana","Hunt, Peter R."
1986,Pretty in Pink,Drama,"Stanton, Harry Dean","Ringwald, Molly","Deutch, Howard"
1987,PK. & the Kid.,Drama,"LeMat, Paul","Ringwald, Molly",
1943,"Lone Star Trail, The",Western,"Brown, Johnny Mack","Ritter, Tex","Taylor, Ray"
1986,Summer,Comedy,"Gauthier, Vincent","Riviere, Marie","Rohmer, Eric"
1987,"Planes, Trains & Automobiles",Comedy,"Martin, Steve","Robbins, Laila","Hughes, John"
1990,Pretty Woman,Comedy,"Gere, Richard","Roberts, Julia","Marshall, Garry"
1991,Flatliners,Drama,"Sutherland, Kiefer","Roberts, Julia","Schumacher, Joel"
1991,Hook,Action,"Williams, Robin","Roberts, Julia","Spielberg, Steven"
1940,Riders of Pasco Basin,Western,"Brown, Johnny Mack","Robinson, Frances","Taylor, Ray"
1992,"Gotta Dance, Gotta Sing",Music,"Astaire, Fred","Rogers, Ginger",
1990,Desperate Hours,Mystery,"Rourke, Mickey","Rogers, Mimi","Cimino, Michael"
1986,Gung Ho,Comedy,"Keaton, Michael","Rogers, Mimi","Howard, Ron"
1992,Shooting Elizabeth,Mystery,"Goldblum, Jeff","Rogers, Mimi","Taylor, Baz"
1951,Strangers on a Train,Mystery,"Granger, Farley","Roman, Ruth","Hitchcock, Alfred"
1979,"Sacketts, The",Western,"Elliott, Sam","Roman, Ruth","Totten, Robert"
1991,To Die Standing,Action,"De Young, Cliff","Rose, Jamie","Morneau, Louis"
1980,Rodeo Girl,Drama,"Hopkins, Bo","Ross, Katharine","Cooper, Jackie"
1969,Butch Cassidy & the Sundance Kid,Western,"Newman, Paul","Ross, Katharine","Hill, George Roy"
1968,Hellfighters,Action,"Wayne, John","Ross, Katharine","McLaglen, Andrew V."
1980,"Final Countdown, The",Action,"Douglas, Kirk","Ross, Katharine","Taylor, Don"
1986,Blue Velvet,Mystery,"MacLachlan, Kyle","Rossellini, Isabella","Lynch, David"
1989,Cousins,Comedy,"Danson, Ted","Rossellini, Isabella",
1976,Black & White in Color,Comedy,"Carmet, Jean","Rouvel, Catherine","Annaud, Jean-Jacques"
1988,Another Woman,Drama,"Hackman, Gene","Rowlands, Gena","Allen, Woody"
1992,Night on Earth,Drama,"Benigni, Roberto","Rowlands, Gena","Jarmusch, Jim"
1988,Permanent Record,Drama,"Boyce, Alan","Rubin, Jennifer","Silver, Marisa"
1992,"Fisher King, The",Drama,"Williams, Robin","Ruehl, Mercedes","Gilliam, Terry"
1991,Another You,Comedy,"Pryor, Richard","Ruehl, Mercedes","Phillips, Maurice"
1958,"Young Lions, The",Drama,"Brando, Marlon","Rush, Barbara","Dmytryk, Edward"
1988,Cheerleader Camp,Horror,"Garrett, Leif","Russell, Betsy","Quinn, John"
1990,Trapper County War,Action,"Hudson, Ernie","Russell, Betsy",
1947,Angel & the Badman,Western,"Wayne, John","Russell, Gail","Grant, James Edward"
1990,Impulse,Mystery,"Fahey, Jeff","Russell, Theresa","Locke, Sondra"
1988,Track Twenty-Nine,Drama,"Oldman, Gary","Russell, Theresa","Roeg, Nicolas"
1991,Freejack,Action,"Estevez, Emilio","Russo, Rene","Richardson, Tony"
1939,"John Wayne Matinee Double Feature, No. 1",Western,"Wayne, John","Rutherford, Ann",
1988,"Smallest Show on Earth, The",Comedy,"Sellers, Peter","Rutherford, Margaret","Dearden, Basil"
1987,Innerspace,Science Fiction,"Quaid, Dennis","Ryan, Meg","Dante, Joe"
1988,"Presidio, The",Action,"Connery, Sean","Ryan, Meg","Hyams, Peter"
1990,Joe Versus the Volcano,Comedy,"Hanks, Tom","Ryan, Meg","Patrick, John"
1991,"Doors, The",Drama,"Kilmer, Val","Ryan, Meg","Stone, Oliver"
1990,"Welcome Home, Roxy Carmichael",Comedy,"Daniels, Jeff","Ryder, Winona","Abrahams, Jim"
1972,Cancel My Reservation,Comedy,"Hope, Bob","Saint, Eva Marie","Bogart, Paul"
1991,North by Northwest,Mystery,"Grant, Cary","Saint, Eva Marie","Hitchcock, Alfred"
1966,"Russians Are Coming, the Russians Are, The",Comedy,"Reiner, Carl","Saint, Eva Marie","Jewison, Norman"
1992,Exodus,Drama,"Newman, Paul","Saint, Eva Marie","Preminger, Otto"
1982,"Ballad of Narayama, The",Drama,"Ogata, Ken","Sakamoto, Sumiko","Imamura, Shohei"
1985,Out of the Darkness,Mystery,"Sheen, Martin","Salt, Jennifer","Taylor, Jud"
1971,"Garden of the Finzi-Continis, The",Drama,"Capolicchio, Lino","Sanda, Dominique","De Sica, Vittorio"
1974,Steppenwolf,Drama,"Sydow, Max von","Sanda, Dominique","Haines, Fred"
1973,"Mackintosh Man, The",Action,"Newman, Paul","Sanda, Dominique","Huston, John"
1968,Partner,Drama,"Clementi, Pierre","Sandrelli, Stefania","Bertolucci, Bernardo"
1970,"Conformist, The",Drama,"Trintignant, Jean-Louis","Sandrelli, Stefania","Bertolucci, Bernardo"
1971,Dirty Harry,Drama,"Eastwood, Clint","Santoni, Reni","Siegel, Don"
1986,Ferris Bueller's Day Off,Comedy,"Broderick, Matthew","Sara, Mia","Hughes, John"
1986,Legend,Science Fiction,"Cruise, Tom","Sara, Mia","Scott, Ridley"
1984,"Buddy System, The",Drama,"Dreyfuss, Richard","Sarandon, Susan","Jordan, Glenn"
1989,A Dry White Season,Drama,"Sutherland, Donald","Sarandon, Susan","Palcy, Euzhan"
1975,"Rocky Horror Picture Show, The",Music,"Gray, Charles","Sarandon, Susan","Sharman, Jim"
1968,War & Peace,Drama,"Tikhonov, Vyacheslav","Savelyeva, Lyudmila","Bondarchuk, Sergei"
1992,Defense of the Realm,Drama,"Elliott, Denholm","Scacchi, Greta",
1991,Basil The Rat,Comedy,"Cleese, John","Scales, Prunella",
1979,"Fawlty Towers, Gourmet Night, Waldorf Salad & The Kipper & the Corpse",Comedy,"Cleese, John","Scales, Prunella",
1991,Going Under,Comedy,"Pullman, Bill","Schaal, Wendy","Travis, Mark W."
1990,U S. Sub Standard.,Comedy,"Pullman, Bill","Schaal, Wendy",
1990,Hells Angels on Wheels,Action,"Nicholson, Jack","Scharf, Sabrina",
1975,"Passenger, The",Drama,"Nicholson, Jack","Schneider, Maria","Antonioni, Michelangelo"
1973,Last Tango in Paris,Drama,"Brando, Marlon","Schneider, Maria","Bertolucci, Bernardo"
1987,Indigo Autumn & Lilac Dream,Drama,"Singer, Marc","Schrage, Lisa","Gillard, Stuart"
1924,"Kriemhild's Revenge, The Nibelungenlied",Drama,"Loos, Theodor","Schön, Margarete","Lang, Fritz"
1966,Johnny Tiger,Drama,"Taylor, Robert","Scott, Brenda","Wendkos, Paul"
1986,Head Office,Comedy,"Reinhold, Judge","Seymour, Jane","Finkleman, Ken"
1990,Live & Let Die,Action,"Moore, Roger","Seymour, Jane",
1972,Le Charme Discret de la Bourgeoisie,Comedy,"Rey, Fernando","Seyrig, Delphine","Bunuel, Luis"
1986,Blue City,Action,"Nelson, Judd","Sheedy, Ally","Manning, Michelle"
1983,Bad Boys,Drama,"Penn, Sean","Sheedy, Ally","Rosenthal, Rick"
1986,"Whoopee Boys, The",Comedy,"O'Keefe, Michael","Shelley, Carole","Byrum, John"
1971,"Last Picture Show, The",Drama,"Bottoms, Timothy","Shepherd, Cybill","Bogdanovich, Peter"
1988,"Diamond Trap, The",Drama,"Hessman, Howard","Shields, Brooke","Taylor, Don"
1981,Endless Love,Drama,"Hewitt, Martin","Shields, Brooke","Zeffirelli, Franco"
1976,Rocky,Drama,"Stallone, Sylvester","Shire, Talia","Avildsen, John G."
1988,Cocktail,Drama,"Cruise, Tom","Shue, Elisabeth","Donaldson, Roger"
1936,Sabotage,Mystery,"Homolka, Oskar","Sidney, Sylvia","Hitchcock, Alfred"
1977,Madame Rosa,Drama,"Youb, Samy Ben","Signoret, Simone","Mizrahi, Moshe"
1985,Fozzie's Muppet Scrapbook,Comedy,"Berle, Milton","Sills, Beverly",
1954,Desiree,Drama,"Brando, Marlon","Simmons, Jean","Koster, Henry"
1960,Spartacus,Drama,"Douglas, Kirk","Simmons, Jean","Kubrick, Stanley"
1955,Guys & Dolls,Comedy,"Brando, Marlon","Simmons, Jean","Mankiewicz, Joseph L."
1992,Until They Sail,Drama,"Newman, Paul","Simmons, Jean","Wise, Robert"
1988,Coming to America,Comedy,"Murphy, Eddie","Sinclair, Madge","Landis, John"
1963,Lilies of the Field,Drama,"Poitier, Sidney","Skala, Lilia","Poitier, Sidney"
1987,River's Edge,Drama,"Glover, Crispin","Skye, Ione","Hunter, Tim"
1986,Ruthless People,Comedy,"DeVito, Danny","Slater, Helen","Abrahams, Jim"
1987,"Secret of My Success, The",Comedy,"Fox, Michael J.","Slater, Helen","Ross, Herbert"
1965,"Shop on Main Street, The",Drama,"Kroner, Josef","Slivoka, Hana","Kadar, Jan"
1988,Funny Farm,Comedy,"Chase, Chevy","Smith, Madolyn","Hill, George Roy"
1988,"Lonely Passion of Judith Hearne, The",Drama,"Hoskins, Bob","Smith, Maggie","Clayton, Jack"
1978,California Suite,Comedy,"Caine, Michael","Smith, Maggie","Ross, Herbert"
1986,Maximum Overdrive,Horror,"Estevez, Emilio","Smith, Yeardley","King, Stephen"
1985,Pale Rider,Western,"Eastwood, Clint","Snodgress, Carrie","Eastwood, Clint"
1990,"Kissing Place, The",Drama,"Birney, Meredith Baxter","Snow, Victoria","Wharmby, Tony"
1986,French Lesson,Comedy,"Sterling, Alexandre","Snowden, Jane","Gilbert, Brian"
1985,Roller Blade,Action,"Hutchinson, Jeff","Solari, Suzanne","Jackson, Donald G"
1964,A Shot in the Dark,Comedy,"Sellers, Peter","Sommer, Elke","Edwards, Blake"
1979,"Treasure Seekers, The",Action,"Whitman, Stuart","Sommer, Elke",
1982,Missing,Drama,"Lemmon, Jack","Spacek, Sissy",Costa-Gavras
1989,Picasso Trigger,Action,"Bond, Steve","Speir, Dona","Sidaris, Andy"
1987,Hard Ticket to Hawaii,Action,"Moss, Ronn","Speir, Dona","Sidaris, Andy"
1990,Diamonds are Forever,Action,"Connery, Sean","St. John, Jill","Hamilton, Guy"
1933,Baby Face,Drama,"Brent, George","Stanwyck, Barbara","Green, Alfred E."
1992,"Violent Men, The",Action,"Ford, Glenn","Stanwyck, Barbara","Mate, Rudolph"
1985,Cocoon,Science Fiction,"Ameche, Don","Stapleton, Maureen","Howard, Ron"
1986,Clockwise,Comedy,"Cleese, John","Steadman, Alison","Morahan, Christopher"
1993,Romantic Comedy,Comedy,"Moore, Dudley","Steenburgen, Mary",
1981,Outland,Science Fiction,"Connery, Sean","Sternhagen, Frances","Hyams, Peter"
1967,Hang 'em High,Western,"Eastwood, Clint","Stevens, Inger","Post, Ted"
1992,Basic Instinct,Mystery,"Douglas, Michael","Stone, Sharon","Verhoeven, Paul"
1990,Total Recall,Action,"Schwarzenegger, Arnold","Stone, Sharon","Verhoeven, Paul"
1987,Stakeout,Comedy,"Dreyfuss, Richard","Stowe, Madeleine","Badham, John"
1992,"Unnamable II, The Statement of Randolph Carter, The",Drama,"Rhys-Davies, John","Strain, Julie","Ouellette, Jean-Paul"
1967,"Trip, The",Drama,"Fonda, Peter","Strasberg, Susan","Corman, Roger"
1987,Ironweed,Drama,"Nicholson, Jack","Streep, Meryl","Babenco, Hector"
1979,Kramer vs. Kramer,Drama,"Hoffman, Dustin","Streep, Meryl","Benton, Robert"
1988,Still of the Night,Mystery,"Scheider, Roy","Streep, Meryl","Benton, Robert"
1991,Defending Your Life,Comedy,"Brooks, Albert","Streep, Meryl","Brooks, Albert"
1978,"Deer Hunter, The",Drama,"De Niro, Robert","Streep, Meryl","Cimino, Michael"
1984,Falling in Love,Drama,"De Niro, Robert","Streep, Meryl","Grosbard, Ulu"
1986,Heartburn,Comedy,"Nicholson, Jack","Streep, Meryl","Nichols, Mike"
1983,Silkwood,Drama,"Russell, Kurt","Streep, Meryl","Nichols, Mike"
1982,Sophie's Choice,Drama,"Kline, Kevin","Streep, Meryl","Pakula, Alan J."
1985,Out of Africa,Drama,"Redford, Robert","Streep, Meryl","Pollack, Sydney"
1981,"French Lieutenant's Woman, The",Drama,"Irons, Jeremy","Streep, Meryl","Reisz, Karel"
1985,Plenty,Drama,"Dance, Charles","Streep, Meryl","Schepisi, Fred"
1988,A Cry in the Dark,Drama,"Neill, Sam","Streep, Meryl","Schepisi, Fred"
1989,She-Devil,Comedy,"Begley, Ed, Jr.","Streep, Meryl","Seidelman, Susan"
1992,Death Becomes Her,Drama,"Willis, Bruce","Streep, Meryl","Zemeckis, Robert"
1991,Kids & Pesticides,Drama,"Whyatt, Robin","Streep, Meryl",
1970,On a Clear Day You Can See Forever,Music,"Montand, Yves","Streisand, Barbra","Minnelli, Vincente"
1987,Nuts,Drama,"Dreyfuss, Richard","Streisand, Barbra","Ritt, Martin"
1983,Yentl,Music,"Patinkin, Mandy","Streisand, Barbra","Streisand, Barbra"
1968,Funny Girl,Music,"Sharif, Omar","Streisand, Barbra","Wyler, William"
1990,Fellow Traveller,Drama,"Travanti, Daniel J.","Stubbs, Imogen","Towns, Philip Saville"
1970,Dodesukaden,Drama,"Zushi, Yoshitaka","Sugai, Kin","Kurosawa, Akira"
1987,"Sicilian, The",Drama,"Lambert, Christopher","Sukowa, Barbara","Cimino, Michael"
1941,So Ends Our Night,Drama,"March, Fredric","Sullavan, Margaret","Cromwell, John"
1984,Sword of the Valiant,Action,"O'Keeffe, Miles","Sutton, Emma","Weeks, Stephen"
1949,"Devil's Wanton, The",Drama,"Malmsten, Birger","Svedlund, Doris","Bergman, Ingmar"
1989,Driving Miss Daisy,Drama,"Freeman, Morgan","Tandy, Jessica","Beresford, Bruce"
1991,"Seventh Cross, The",Drama,"Tracy, Spencer","Tandy, Jessica",
1983,Between Friends,Drama,"Ramer, Henry","Taylor, Elizabeth","Antonio, Lou"
1957,Raintree County,Drama,"Clift, Montgomery","Taylor, Elizabeth","Dmytryk, Edward"
1975,"Driver's Seat, The",Drama,"Bannen, Ian","Taylor, Elizabeth","Griffi, Giuseppe Patroni"
1967,Reflections in a Golden Eye,Drama,"Brando, Marlon","Taylor, Elizabeth","Huston, John"
1972,"X, Y & Zee",Drama,"Caine, Michael","Taylor, Elizabeth","Hutton, Brian G."
1968,Secret Ceremony,Drama,"Mitchum, Robert","Taylor, Elizabeth","Losey, Joseph"
1963,Cleopatra,Drama,"Burton, Richard","Taylor, Elizabeth","Mankiewicz, Joseph L."
1950,Father of the Bride,Comedy,"Taylor, Rod","Taylor, Elizabeth","Minnelli, Vincente"
1992,Who's Afraid of Virginia Woolf?,Drama,"Burton, Richard","Taylor, Elizabeth","Nichols, Mike"
1977,A Little Night Music,Music,"Cariou, Len","Taylor, Elizabeth","Prince, Harold"
1956,Giant,Drama,"Hudson, Rock","Taylor, Elizabeth","Stevens, George"
1985,"Rumor Mill, The",Drama,"Dysart, Richard A.","Taylor, Elizabeth","Trikonis, Gus"
1943,Lassie Come Home,Drama,"McDowall, Roddy","Taylor, Elizabeth","Wilcox, Fred M"
1993,Return Engagement,Drama,"Bottoms, Joseph","Taylor, Elizabeth",
1972,Hammersmith Is Out,Drama,"Burton, Richard","Taylor, Elizabeth",
1991,Super Duper Bloopers,Comedy,"Cooper, Gary","Taylor, Elizabeth",
1991,"Elizabeth Taylor Collection, The",Drama,"Fisher, Eddie","Taylor, Elizabeth",
1973,Ash Wednesday,Drama,"Fonda, Henry","Taylor, Elizabeth",
1991,"Last Time I Saw Paris, The",Drama,"Johnson, Van","Taylor, Elizabeth",
1931,Cimarron,Western,"Dix, Richard","Taylor, Estelle","Ruggles, Wesley"
1992,Apache Woman,Western,"Bridges, Lloyd","Taylor, Joan","Corman, Roger"
1984,Gary Numan - Berzerker,Music,"Webb, John","Taylor, Karen",
1988,Mystic Pizza,Comedy,"Moses, William","Taylor, Lili","Petrie, Donald"
1991,Dogfight,Action,"Phoenix, River","Taylor, Lili","Savoca, Nancy"
1935,"Adventures of Rex & Rinty, The",Western,Rex the Wonder Horse,"Taylor, Norma","Beebe, Ford"
1988,Daphnis & Chloe,Music,"Morrow, Carl","Taylor, Victoria","Wimhurst, Jolyon"
1980,Marathon,Comedy,"Newhart, Bob","Taylor-Young, Leigh","Cooper, Jackie"
1948,Fort Apache,Western,"Fonda, Henry","Temple, Shirley","Ford, John"
1937,Wee Willie Winkie,Drama,"Romero, Cesar","Temple, Shirley","Ford, John"
1987,Big Shots,Action,"Busker, Ricky","Thayer, Brynn","Mandel, Robert"
1988,Doin' Time on Planet Earth,Comedy,"Strouse, Nocholas","Thompson, Andrea","Matthau, Charles"
1983,All the Right Moves,Drama,"Cruise, Tom","Thompson, Lea","Chapman, Michael"
1987,Some Kind of Wonderful,Drama,"Stoltz, Eric","Thompson, Lea","Deutch, Howard"
1990,"All New Tales from the Crypt, A Trilogy",Horror,"Walsh, M. Emmet","Thompson, Lea","Deutch, Howard"
1985,Back to the Future,Comedy,"Fox, Michael J.","Thompson, Lea","Zemeckis, Robert"
1963,Winter Light,Drama,"Björnstrand, Gunnar","Thulin, Ingrid","Bergman, Ingmar"
1963,"Silence, The",Drama,"Malmsten, Birger","Thulin, Ingrid","Bergman, Ingmar"
1959,"Magician, The",Drama,"Sydow, Max von","Thulin, Ingrid","Bergman, Ingmar"
1961,"Four Horsemen of the Apocalypse, The",Drama,"Ford, Glenn","Thulin, Ingrid","Minnelli, Vincente"
1986,Critical Condition,Comedy,"Pryor, Richard","Ticotin, Rachel","Apted, Michael"
1989,Center of the Web,Mystery,"Curtis, Tony","Tilton, Charlene",
1990,Border Shootout,Action,"Ford, Glenn","Tilton, Charlene",
1989,Lean on Me,Drama,"Freeman, Morgan","Todd, Beverly","Avildsen, John G."
1986,On Wings of Eagles,Drama,"Lancaster, Burt","Towers, Constance","McLaglen, Andrew V."
1941,Texas,Western,"Holden, William","Trevor, Claire","Marshall, George"
1939,Allegheny Uprising,Drama,"Wayne, John","Trevor, Claire","Seiter, William A."
1940,Dark Command,Western,"Wayne, John","Trevor, Claire","Walsh, Raoul"
1986,Peggy Sue Got Married,Drama,"Cage, Nicolas","Turner, Kathleen","Coppola, Francis Ford"
1989,"Dear America, Letters Home from Vietnam",War,"De Niro, Robert","Turner, Kathleen","Couturie, Bill"
1985,Prizzi's Honor,Comedy,"Nicholson, Jack","Turner, Kathleen","Huston, John"
1983,"Man with Two Brains, The",Comedy,"Martin, Steve","Turner, Kathleen","Reiner, Carl"
1984,Crimes of Passion,Drama,"Perkins, Anthony","Turner, Kathleen","Russell, Ken"
1985,"Jewel of the Nile, The",Action,"Douglas, Michael","Turner, Kathleen","Teague, Lewis"
1984,Romancing the Stone,Action,"Douglas, Michael","Turner, Kathleen","Zemeckis, Robert "
1988,"Accidental Tourist, The",Comedy,"Hurt, William","Turner, Kathleen",
1955,"Sea Chase, The",War,"Wayne, John","Turner, Lana","Farrow, John"
1958,"Another Time, Another Place",Drama,"Connery, Sean","Turner, Lana",
1988,Cannibal Women in the Avocado Jungle of Death,Comedy,"Primus, Barry","Tweed, Shannon","Lawton, J.F."
1986,Mr Love.,Comedy,"Jackson, Barry","Tyzack, Margaret","Battersby, Roy"
1968,2001: A Space Odyssey,Science Fiction,"Dullea, Keir","Tyzack, Margaret","Kubrick, Stanley"
1966,Persona,Drama,"Björnstrand, Gunnar","Ullman, Liv","Bergman, Ingmar"
1973,Scenes from a Marriage,Drama,"Josephson, Erland","Ullman, Liv","Bergman, Ingmar"
1968,Hour of the Wolf,Drama,"Sydow, Max von","Ullman, Liv","Bergman, Ingmar"
1969,"Passion of Anna, The",Drama,"Sydow, Max von","Ullman, Liv","Bergman, Ingmar"
1984,Dangerous Moves,Drama,"Caron, Leslie","Ullman, Liv","Dembo, Richard"
1957,Sayonara,Drama,"Brando, Marlon","Umeki, Miyoshi","Logan, Joshua"
1968,Where Eagles Dare,War,"Burton, Richard","Ure, Mary","Hulton, Brian G."
1985,Teen Wolf,Drama,"Fox, Michael J.","Ursitti, Susan","Daniel, Rod"
1990,Amazon,Action,"Davi, Robert","Vaananen, Kari","Kaurismäki, Mika"
1973,"Paper Chase, The",Drama,"Bottoms, Timothy","Wagner, Lindsay","Bridges, James"
1959,"Virgin Spring, The",Drama,"Sydow, Max von","Valberg, Brigitta","Bergman, Ingmar"
1970,Spider's Stratagem,Drama,"Brogi, Giulio","Valli, Alida","Bertolucci, Bernardo"
1971,Play Misty for Me,Mystery,"Eastwood, Clint","Walter, Jessica","Eastwood, Clint"
1981,Going Ape,Comedy,"Danza, Tony","Walter, Jessica","Kronsberg, Jeremy Joe"
1967,Cool Hand Luke,Drama,"Newman, Paul","Van Fleet, Jo","Rosenberg, Stuart"
1988,Phantom of the Ritz,Horror,"Bergman, Peter","Van Valkenburgh, Deborah","Plone, Allen"
1990,Crash & Burn,Science Fiction,"Ganus, Paul","Ward, Megan","Band, Charles"
1991,After Dark My Sweet,Mystery,"Patric, Jason","Ward, Rachel","Foley, James"
1992,Christopher Columbus: The Discovery,Adventure,"Brando, Marlon","Ward, Rachel","Glen, John"
1986,Young Sherlock Holmes,Mystery,"Rowe, Nicholas","Ward, Sophie","Levinson, Barry"
1991,Doc Hollywood,Comedy,"Fox, Michael J.","Warner, Julie","Caton-Jones, Michael"
1988,Baja Oklahoma,Comedy,"Coyote, Peter","Warren, Lesley Ann","Roth, Bobby"
1986,Aliens,Science Fiction,"Biehn, Michael","Weaver, Sigourney","Cameron, James"
1992,Alien Three,Science Fiction,"Dutton, Charles","Weaver, Sigourney","Fincher, David"
1997,Alien: resurrection,Science Fiction,"Perlman, Ron","Weaver, Sigourney","Jeunet, Jean-Pierre"
1979,Alien,Science Fiction,"Skerritt, Tom","Weaver, Sigourney","Scott, Ridley"
1985,One Woman or Two,Comedy,"Depardieu, Gérard","Weaver, Sigourney","Vigne, Daniel"
1984,Soggy Bottom U. S. A.,Comedy,"Johnson, Ben","Wedgeworth, Ann","Flicker, Theodore J."
1973,Bang the Drum Slowly,Drama,"Moriarty, Michael","Wedgeworth, Ann","Hancock, John D."
1974,"Catamount Killing, The",Action,"Buchholz, Horst","Wedgeworth, Ann","Zanussi, Krzystoff"
1972,Fuzz,Action,"Reynolds, Burt","Welch, Raquel","Colla, Richard A."
1966,"Shoot Loud, Louder, I Don't Understand!",Mystery,"Mastroianni, Marcello","Welch, Raquel","De Filippo, Eduardo"
1967,Bedazzled,Comedy,"Cook, Peter","Welch, Raquel","Donen, Stanley"
